-3,3.69e+06,0,2.01e+06,7.27e+06,1.99e+06,5.4e+06,4.31e+06,3.06e+06,7.2e+06,3.81e+06,5.46e+06,4.39e+06,3.66e+06,5.11e+06,5.6e+06,5.34e+06,8e+06,3.8e+06,6.5e+06,6.83e+06,6.27e+06,8.39e+06,9.33e+06,5.0808e+06,4.5275e+06,4.7749e+06,8.1017e+06,6.0445e+06,7.106e+06,4.9757e+06,4.47e+06,0,2.47e+06,4.42e+06,3.25e+06,4.69e+06,5.96e+06,4.05e+06,7.88e+06,3.26e+06,5.61e+06,6.11e+06,4.4e+06,4.47e+06,4.44e+06,6.41e+06,5.48e+06,4.41e+06,7.04e+06,5.73e+06,5.41e+06,3.88e+06,6.19e+06,5.7226e+06,5.1714e+06,5.3551e+06,6.4795e+06,7.6819e+06,5.3444e+06,6.5468e+06
-2,3.81e+06,0,2.09e+06,7.44e+06,2.06e+06,5.52e+06,4.25e+06,3e+06,7.73e+06,3.9e+06,5.59e+06,4.54e+06,3.87e+06,5.24e+06,5.83e+06,5.23e+06,8.45e+06,3.77e+06,7.48e+06,7.17e+06,6.6e+06,8.49e+06,9.54e+06,5.1798e+06,4.4233e+06,4.8615e+06,8.1695e+06,6.2515e+06,7.3751e+06,5.0283e+06,4.55e+06,0,2.57e+06,4.58e+06,3.35e+06,4.77e+06,6.63e+06,4.18e+06,8.13e+06,3.2e+06,5.81e+06,6.51e+06,4.33e+06,4.4e+06,4.56e+06,6.78e+06,5.36e+06,4.37e+06,7.2e+06,6e+06,5.33e+06,4.05e+06,6.26e+06,6.2638e+06,5.2194e+06,5.5459e+06,7.1221e+06,7.9852e+06,5.3309e+06,6.4505e+06
-1,3.69e+06,0,2.66e+06,5.46e+06,2.18e+06,4.45e+06,4.67e+06,2.75e+06,5.4e+06,3.41e+06,4.48e+06,4.33e+06,3.68e+06,4.76e+06,4.41e+06,4.75e+06,7.11e+06,4.33e+06,5.89e+06,6.2e+06,4.91e+06,6.23e+06,7.67e+06,4.9817e+06,3.8637e+06,3.6443e+06,6.0203e+06,5.0825e+06,5.3558e+06,4.9562e+06,4.16e+06,0,2.38e+06,4.87e+06,3.12e+06,4.06e+06,5.84e+06,3.67e+06,6.17e+06,3.23e+06,5.48e+06,6.16e+06,3.42e+06,3.87e+06,3.94e+06,5.17e+06,4.89e+06,3.83e+06,6.1e+06,4.75e+06,5e+06,4.91e+06,4.7e+06,4.6064e+06,4.9314e+06,4.5501e+06,5.517e+06,6.3826e+06,4.581e+06,4.7269e+06
0,5.03e+06,0,5.62e+06,1.08e+07,3.99e+06,5.62e+06,1.16e+07,5.82e+06,1.27e+07,4.62e+06,1.06e+07,1.04e+07,5.24e+06,1.18e+07,1.14e+07,8.85e+06,1.2e+07,7.88e+06,1.13e+07,1.14e+07,1.14e+07,1.31e+07,1.05e+07,9.5559e+06,5.0221e+06,5.5491e+06,1.2162e+07,1.1681e+07,1.2996e+07,1.0492e+07,6.43e+06,0,4.34e+06,1.25e+07,7.01e+06,5.05e+06,1.04e+07,6.7e+06,1.41e+07,6.43e+06,8.09e+06,1.04e+07,5.35e+06,7.95e+06,9.12e+06,1.11e+07,1.15e+07,1.14e+07,1.35e+07,1.17e+07,1.11e+07,9.18e+06,8.63e+06,8.9477e+06,7.6471e+06,7.8265e+06,1.0278e+07,1.3137e+07,1.1227e+07,1.3504e+07
1,5.13e+06,0,5.73e+06,1.1e+07,3.99e+06,6.47e+06,1.22e+07,6.02e+06,1.35e+07,4.98e+06,1.17e+07,1.08e+07,4.93e+06,1.21e+07,1.26e+07,1.03e+07,1.13e+07,8.5e+06,1.28e+07,1.31e+07,1.17e+07,1.4e+07,1.16e+07,1.0042e+07,5.915e+06,6.0044e+06,1.3538e+07,1.3195e+07,1.3957e+07,1.1616e+07,6.68e+06,0,4.48e+06,1.29e+07,6.91e+06,5.26e+06,1.27e+07,6.87e+06,1.69e+07,6.35e+06,8.67e+06,1.19e+07,5.71e+06,7.94e+06,1.03e+07,1.16e+07,1.29e+07,1.22e+07,1.49e+07,1.25e+07,1.14e+07,9.3e+06,1.01e+07,1.0098e+07,8.42e+06,8.5431e+06,1.25e+07,1.5347e+07,1.2531e+07,1.4992e+07
2,4.8e+06,0,5.39e+06,1.04e+07,3.75e+06,6.32e+06,1.23e+07,5.92e+06,1.29e+07,4.94e+06,1.14e+07,9.76e+06,4.57e+06,1.13e+07,1.16e+07,9.99e+06,1.05e+07,8.12e+06,1.28e+07,1.24e+07,1.01e+07,1.3e+07,1.1e+07,9.3689e+06,5.8921e+06,5.7128e+06,1.314e+07,1.2285e+07,1.2541e+07,1.1029e+07,6.4e+06,0,4.24e+06,1.16e+07,6.34e+06,4.88e+06,1.23e+07,6.16e+06,1.68e+07,5.86e+06,7.99e+06,1.12e+07,5.63e+06,6.99e+06,1.01e+07,1.09e+07,1.27e+07,1.13e+07,1.43e+07,1.13e+07,1.07e+07,9.11e+06,1.05e+07,9.9415e+06,7.9042e+06,8.141e+06,1.2549e+07,1.4963e+07,1.1818e+07,1.3683e+07
3,4.8e+06,0,5.07e+06,1e+07,3.52e+06,5.83e+06,1.15e+07,5.7e+06,1.25e+07,4.81e+06,9.87e+06,8.19e+06,4.24e+06,1.05e+07,1.03e+07,9.62e+06,9.91e+06,7.23e+06,1.21e+07,1.12e+07,9.59e+06,1.21e+07,1.06e+07,8.9738e+06,5.5257e+06,5.2816e+06,1.1729e+07,1.1121e+07,1.1675e+07,9.6698e+06,6.04e+06,0,4e+06,1.05e+07,5.66e+06,4.29e+06,1.04e+07,5.23e+06,1.56e+07,5.38e+06,7.29e+06,1.06e+07,5.36e+06,6.99e+06,9.26e+06,9.76e+06,1.2e+07,9.84e+06,1.28e+07,9.5e+06,9.33e+06,8.56e+06,1.01e+07,8.9834e+06,6.9959e+06,7.4073e+06,1.1887e+07,1.3616e+07,1.0273e+07,1.1783e+07
4,4.85e+06,0,4.76e+06,9.58e+06,3.41e+06,5.32e+06,9.89e+06,5.19e+06,1.21e+07,4.66e+06,8.05e+06,7.21e+06,3.96e+06,9.55e+06,9.06e+06,8.47e+06,9.15e+06,6.05e+06,1.13e+07,1.06e+07,9.11e+06,1.14e+07,1e+07,8.2874e+06,5.0605e+06,4.8546e+06,1.0471e+07,1.0128e+07,1.0844e+07,8.1891e+06,5.61e+06,0,3.77e+06,9.34e+06,4.95e+06,4.07e+06,1.02e+07,4.55e+06,1.37e+07,5.08e+06,6.71e+06,9.6e+06,5.03e+06,6.91e+06,8.34e+06,9.03e+06,1.12e+07,8.18e+06,1.2e+07,8.91e+06,8.23e+06,8.54e+06,9.54e+06,8.6384e+06,5.9808e+06,6.5638e+06,1.1277e+07,1.1638e+07,8.3336e+06,1.0213e+07
5,4.77e+06,0,4.39e+06,9.03e+06,3.35e+06,4.8e+06,7.53e+06,4.8e+06,1.12e+07,4.42e+06,7.11e+06,7.03e+06,3.71e+06,8.74e+06,8.44e+06,7.52e+06,8.77e+06,5.39e+06,1.07e+07,1.01e+07,8.57e+06,1.06e+07,9.37e+06,7.7001e+06,4.4826e+06,4.4574e+06,1.0099e+07,9.2339e+06,1.0045e+07,8.1293e+06,5.45e+06,0,3.56e+06,7.9e+06,4.24e+06,3.89e+06,9.31e+06,4.24e+06,1.11e+07,4.86e+06,6.03e+06,8.79e+06,4.65e+06,6.62e+06,7.85e+06,8.3e+06,1.06e+07,6.62e+06,1.09e+07,8.27e+06,7.42e+06,8.41e+06,9.02e+06,8.1813e+06,5.285e+06,5.6761e+06,1.0433e+07,1.0164e+07,7.3257e+06,8.7991e+06
6,4.46e+06,0,3.98e+06,8.45e+06,3.3e+06,4.32e+06,6.63e+06,4.31e+06,1.01e+07,4.17e+06,5.95e+06,7.25e+06,3.55e+06,8.07e+06,7.78e+06,7.24e+06,8.46e+06,4.78e+06,1e+07,9.52e+06,8.17e+06,9.75e+06,8.92e+06,7.5749e+06,3.9352e+06,4.3361e+06,9.4854e+06,8.5887e+06,9.2077e+06,7.7631e+06,5.3e+06,0,3.31e+06,7.16e+06,3.71e+06,3.68e+06,8.62e+06,3.89e+06,9.76e+06,4.57e+06,5.41e+06,8.72e+06,4.24e+06,6.39e+06,7.46e+06,7.56e+06,9.68e+06,5.71e+06,1.01e+07,7.53e+06,7.03e+06,8.1e+06,8.7e+06,7.5294e+06,4.811e+06,5.1087e+06,9.441e+06,9.3182e+06,6.6335e+06,7.0406e+06
7,4.21e+06,0,3.55e+06,8.05e+06,3.23e+06,4.27e+06,6.43e+06,3.87e+06,9.22e+06,3.84e+06,5.51e+06,7.11e+06,3.86e+06,7.67e+06,7.13e+06,7.2e+06,8.17e+06,4.23e+06,9.28e+06,9.35e+06,7.63e+06,9.04e+06,8.36e+06,7.2043e+06,3.6294e+06,4.107e+06,9.0498e+06,8.1183e+06,1.0002e+07,7.649e+06,5.12e+06,0,3.1e+06,6.57e+06,3.44e+06,3.44e+06,9.46e+06,3.71e+06,9.19e+06,4.61e+06,5.13e+06,8.4e+06,3.79e+06,6.28e+06,6.8e+06,7.41e+06,8.74e+06,5.11e+06,9.67e+06,6.9e+06,6.85e+06,7.81e+06,8.42e+06,6.6772e+06,4.3823e+06,4.7383e+06,8.5903e+06,8.5544e+06,6.056e+06,6.7731e+06
8,3.98e+06,0,3.18e+06,7.83e+06,3.1e+06,4.37e+06,6.26e+06,3.63e+06,9.31e+06,3.49e+06,5.7e+06,6.64e+06,4.07e+06,7.05e+06,6.55e+06,6.78e+06,7.84e+06,4.82e+06,8.26e+06,9.22e+06,7.52e+06,8.56e+06,7.95e+06,6.6904e+06,3.4728e+06,3.8118e+06,8.3971e+06,7.8741e+06,1.007e+07,7.3956e+06,4.84e+06,0,2.99e+06,6.49e+06,3.11e+06,3.19e+06,9.15e+06,3.7e+06,8.7e+06,4.5e+06,4.78e+06,7.66e+06,3.33e+06,6.07e+06,5.92e+06,7.44e+06,7.82e+06,4.87e+06,9.02e+06,6.51e+06,6.95e+06,7.87e+06,8.01e+06,6.3511e+06,3.9238e+06,4.4347e+06,7.8197e+06,8.6137e+06,5.9553e+06,6.1385e+06
9,3.67e+06,0,2.88e+06,7.48e+06,2.88e+06,4.27e+06,6.18e+06,3.42e+06,9.21e+06,3.3e+06,5.62e+06,6.16e+06,4.15e+06,6.34e+06,6.35e+06,6.06e+06,7.18e+06,5.07e+06,8.15e+06,8.81e+06,7.6e+06,8.45e+06,7.73e+06,6.3273e+06,3.272e+06,3.5238e+06,7.7105e+06,7.6311e+06,1.035e+07,6.9864e+06,4.51e+06,0,2.83e+06,6.48e+06,2.9e+06,3.21e+06,9.12e+06,3.64e+06,8.43e+06,4.24e+06,4.42e+06,6.72e+06,2.86e+06,5.59e+06,5.14e+06,7.68e+06,6.88e+06,4.58e+06,8.14e+06,6.35e+06,6.99e+06,7.63e+06,7.4e+06,6.1375e+06,3.5423e+06,4.0532e+06,6.9588e+06,8.7701e+06,5.5954e+06,6.2998e+06
10,3.78e+06,0,2.52e+06,7.02e+06,2.57e+06,3.95e+06,6.29e+06,3.17e+06,9.09e+06,3.16e+06,5.57e+06,6.36e+06,4.09e+06,5.7e+06,5.78e+06,5.48e+06,6.59e+06,4.97e+06,8e+06,8.2e+06,7.73e+06,7.9e+06,7.32e+06,5.7996e+06,3.0569e+06,3.369e+06,7.4103e+06,7.1499e+06,1.0248e+07,7.2233e+06,4.09e+06,0,2.6e+06,6.37e+06,2.87e+06,3.14e+06,7.99e+06,3.52e+06,7.95e+06,3.85e+06,3.82e+06,6.53e+06,2.79e+06,4.88e+06,5.05e+06,7.63e+06,5.7e+06,4.92e+06,7.26e+06,6.14e+06,6.85e+06,7.04e+06,6.56e+06,6.0173e+06,3.6148e+06,3.7366e+06,6.113e+06,8.6522e+06,5.6843e+06,6.7145e+06
11,3.96e+06,0,2.42e+06,6.66e+06,2.19e+06,3.45e+06,6.41e+06,2.91e+06,8.52e+06,3.12e+06,5.52e+06,6.97e+06,3.9e+06,4.8e+06,4.91e+06,5.79e+06,6.15e+06,4.74e+06,7.36e+06,7.43e+06,7.85e+06,7.04e+06,6.92e+06,5.9301e+06,3.0146e+06,3.128e+06,7.0488e+06,7.255e+06,9.6375e+06,7.3256e+06,3.6e+06,0,2.46e+06,6.17e+06,2.77e+06,3.02e+06,7.27e+06,3.47e+06,7.48e+06,3.39e+06,3.43e+06,6.27e+06,2.75e+06,4.23e+06,5.15e+06,7.08e+06,4.74e+06,5.11e+06,7.11e+06,5.86e+06,6.55e+06,6.47e+06,5.85e+06,5.8459e+06,3.5498e+06,3.4807e+06,5.5578e+06,8.2943e+06,5.42e+06,6.6607e+06
12,3.98e+06,0,2.26e+06,6.61e+06,1.74e+06,3.65e+06,5.91e+06,2.76e+06,7.76e+06,3.08e+06,5.66e+06,7.74e+06,3.57e+06,4.8e+06,3.81e+06,5.68e+06,5.83e+06,5.18e+06,6.9e+06,6.44e+06,7.33e+06,6.53e+06,6.29e+06,5.8903e+06,3.0393e+06,2.9157e+06,6.323e+06,6.8367e+06,9.3783e+06,6.996e+06,3.32e+06,0,2.23e+06,5.77e+06,2.75e+06,3.1e+06,6.46e+06,3.72e+06,6.64e+06,2.87e+06,3.43e+06,5.59e+06,2.6e+06,4.34e+06,4.96e+06,6.11e+06,4.79e+06,5.08e+06,6.48e+06,5.52e+06,6.32e+06,5.73e+06,4.69e+06,5.6186e+06,3.3167e+06,3.3954e+06,5.4129e+06,7.5257e+06,4.7736e+06,6.0951e+06
